cat_nr1, , , , , ,
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
nfsmapid,1351,1,12,/system/volatile/rpc_door/rpc_100172.1,O_RDONLY,-1
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
nfsmapid,1351,1,12,/system/volatile/rpc_door/rpc_100172.1,O_RDONLY,-1
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,21856,29214,5000,/tmp/test_a59905,O_WRONLY|O_CREAT,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21856,29214,5000,/var/ld/ld.config,O_RDONLY,-1
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21856,29214,5000,/lib/libc.so.1,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21856,29214,5000,/usr/lib/locale/en_US.UTF-8/en_US.UTF-8.so.3,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21856,29214,5000,/usr/lib/locale/en_US.UTF-8/methods_unicode.so.3,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21856,29214,5000,/etc/inittab,O_RDONLY,3

cat_nr2, , , , , ,
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,21891,29214,5000,/tmp/test_a59905,O_WRONLY|O_APPEND|O_CREAT,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21891,29214,5000,/var/ld/ld.config,O_RDONLY,-1
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21891,29214,5000,/lib/libc.so.1,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21891,29214,5000,/usr/lib/locale/en_US.UTF-8/en_US.UTF-8.so.3,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21891,29214,5000,/usr/lib/locale/en_US.UTF-8/methods_unicode.so.3,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
cat,21891,29214,5000,/etc/inittab,O_RDONLY,3

cat_nr3, , , , , ,
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
tee,21896,29214,5000,/var/ld/ld.config,O_RDONLY,-1
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
tee,21896,29214,5000,/lib/libc.so.1,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
tee,21896,29214,5000,/usr/lib/locale/en_US.UTF-8/en_US.UTF-8.so.3,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
tee,21896,29214,5000,/usr/lib/locale/en_US.UTF-8/methods_unicode.so.3,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
